B_Ion,A_Ion,C_Ion,AntiSolvent,Cell_Area,Solv_Anneal,HTL,Bandgap,Solvents,Backcontact,ETL,Synth_Atm,Dep_Procedure,Is_Module,Anneal_Temp,PCE,Voc,Jsc,FF
Pb,MA,I,1,0.1,0,PEDOT:PSS,1.61,DMSO; GBL,Ag,PCBM-60 | bis-C60,N2,Spin-coating,0,100,14.07,0.92,19.6,0.78
Pb,MA,I,0,0.09,0,Spiro-MeOTAD,1.6,DMF,Ag,TiO2; WOx,N2,Spin-coating,0,,12.73,0.85,22.87,0.65
Pb,FA; MA,I,0,,0,HTL,1.55,Unknown,Ag,SnO2 w/ MSAK,N2 >> N2,Spin-coating >> Antisolvent-quenching,0,30,25.47,1.186,25.58,
Bi; Te,K; BA,O,0,0.25,0,I2-electrolyte,1.94,Ethanol; H2O,Pt | FTO,TiO2-mp,Air,Drop-infiltration,0,100,0.03,0.67,0.04,0.53
Pb,MA,I,1,0.08,0,NiO-np,1.5,DMF; DMSO,Ag,C60 | BCP,Unknown,Spin-coating,0,,15.71,1.072,21.18,0.71
Pb,MA,I,1,0.1,0,P3CT-N,1.6,DMF; DMSO,Cu,PCBM-60 | C60 | BCP,N2,Spin-coating,0,,19.52,1.1,22.1,0.8
Pb,MA,I,1,0.05,0,PTAA,1.6,DMSO; GBL,MoO3 | Ag,TiO2-c,N2,Spin-coating,0,100,,,,
Pb,Cs; FA,I,0,0.1,0,Florinated polymer | Spiro-MeOTAD,,Cyclohexyl-2-pyrrolidone; DMF,Ag,TiO2-c,N2,Spin-coating,0,170,13.9,0.91,24.5,0.62
Pb,Cs; FA; MA,Br; I,1,0.115,0,Spiro-MeOTAD,1.558,DMF; DMSO,Au,TiO2-c | TiO2-mp,N2,Spin-coating,0,100,16.17,1.037,21.46,0.726
Pb,FA,I,0,,0,Spiro-OMeTAD,1.54,Unknown,ITO | Au,SnO2-c,N2,Spin-coating,0,,23.04,,,
Pb,MA,I,1,0.07,0,Spiro-MeOTAD,1.6,DMF; DMSO,Ag,TiO2-c | TiO2-mp,Air,Spin-coating,0,100,16.06,1.065,21.83,0.691
Pb,MA,I,0,0.1,0,PEDOT:PSS,1.5,DMF; DMSO,Ag,PCBM-60 | BCP,Air,Doctor blading,0,90,11.42,0.894,18.93,0.675
Pb,MA,I,0,0.6,0,Spiro-MeOTAD,1.6,DMF >> IPA,PEDOT:PSS,TiO2-c | TiO2-mp,Air >> Air,Spin-coating >> CBD,0,,3.9,0.901,13,0.336
Pb,Cs; FA; MA,Br; I,1,0.15,0,Spiro-MeOTAD,,DMF; DMSO,Au,TiO2-c | TiO2-mp,Unknown,Spin-coating,0,100,25.26,0.804,27.31,0.748
Pb,MA,I,0,0.16,0,Spiro-MeOTAD,1.6,DMF,Au,SrTiO3 | TiO2-mp,Unknown,Spin-coating,0,130,12.33,0.952,20.534,0.631
Pb,FA,I,0,,0,Nap-SiBTA,1.5,Unknown,Au,TiO2-c | TiO2-mp,Unknown,Unknown,0,,21.16,1.121,25.38,0.7438
Pb,Cs; FA; MA,Br; I,0,,0,TaTm | CuPc,1.54,Unknown,Unknown,Unknown,Unknown,Unknown,0,,24.5,1.15,25.57,0.838
Pb,MA,I,1,0.09,0,Spiro-MeOTAD,1.51,DMSO; GBL,Ag,TiO2-c | TiO2-mp,N2,Spin-coating,0,100,13.97,0.997,19.02,0.736
Pb; Sb,MA,I,0,0.07,0,Spiro-MeOTAD,,Unknown,Ag,TiO2-c | TiO2-mp,Unknown,Spin-coating,0,,9.48,0.937,17.37,0.557
Pb,MA,I,1,0.16,0,Spiro-MeOTAD,1.6,DMF,Au,TiO2-c,Air,Spin-coating,0,100,11.37,0.997,18.81,0.61
